method,features,lags,mas,f1,precision,recall,cm
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_6_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_6_value')",0.03508771929824561,0.019230769230769232,0.2,"[[1099  153]
 [  12    3]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_6_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_7_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_7_value')",0.023391812865497075,0.01282051282051282,0.13333333333333333,"[[1098  154]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_7_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_8_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_8_value')",0.012121212121212121,0.006666666666666667,0.06666666666666667,"[[1103  149]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_8_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_5_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_5_value', 'ma_9_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
